K,L,lookups/sec,inserts/sec,ops/sec
0,0,30830000.0,3922400.0,9266400.0
0,1,22974000.0,3051900.0,7222200.0
0,2,40450000.0,5854900.0,13622000.0
0,3,37832000.0,5351000.0,12501000.0
0,4,27242000.0,4050100.0,9359700.0
0,5,24420000.0,3638400.0,8376700.0
0,6,26195000.0,3526700.0,8318200.0
0,7,21986000.0,3107500.0,7263500.0
0,8,19080000.0,2960000.0,6752400.0
0,9,24240000.0,3426200.0,8000700.0
0,10,25532000.0,3680700.0,8565300.0
0,11,45355000.0,6651500.0,15397000.0
0,12,35284000.0,5068200.0,11792700.0
0,13,17504000.0,2618500.0,6038200.0
0,14,19907000.0,2927200.0,6773500.0
0,15,31001000.0,4415700.0,10297000.0
0,16,31457000.0,4527900.0,10522000.0
0,17,39755000.0,5601600.0,13102000.0
0,18,34262000.0,5272700.0,11901100.0
0,19,26893000.0,3836300.0,8943800.0
0,20,44132000.0,6137800.0,14396200.0
0,21,26504000.0,3976000.0,9140600.0
0,22,20199000.0,2880600.0,6713200.0
0,23,33070000.0,4905200.0,11339100.0
0,24,42063000.0,5878700.0,13769000.0
0,25,32961000.0,4663500.0,10891300.0
0,26,46595000.0,6699000.0,15607000.0
0,27,45595000.0,6410500.0,14988000.0
0,28,36284000.0,5746600.0,12940000.0
0,29,32661000.0,4609300.0,10765900.0
0,30,20992000.0,3096800.0,7147800.0
0,31,18546000.0,2540400.0,5979800.0
0,32,17197000.0,2479800.0,5767800.0
0,33,18092000.0,2625300.0,6102800.0
0,34,25350000.0,3745900.0,8667800.0
0,35,17636000.0,2495900.0,5828600.0
0,36,33572000.0,4892200.0,11353000.0
0,37,19948000.0,2851100.0,6649800.0
0,38,24226000.0,3552200.0,8203400.0
0,39,17783000.0,2652700.0,6119500.0
0,40,17640000.0,2474000.0,5773600.0
0,41,16186200.0,2580700.0,5832000.0
0,42,18391000.0,2587400.0,6055500.0
0,43,19175000.0,2767800.0,6442100.0
0,44,18141000.0,2791300.0,6358500.0
0,45,20075000.0,2953900.0,6838500.0
0,46,46229000.0,6497700.0,15190000.0
0,47,44437000.0,6624200.0,15289000.0
0,48,43174000.0,6417200.0,14736000.0
0,49,46676000.0,6617100.0,15456000.0
0,50,44569000.0,6334800.0,14766000.0
0,51,40478000.0,5750500.0,13432000.0
0,52,40515000.0,5799400.0,13525000.0
0,53,32808000.0,4975100.0,11365100.0
0,54,22298000.0,3458000.0,7897800.0
0,55,32484000.0,4276300.0,10127500.0
0,56,30915000.0,4573400.0,10516700.0
0,57,32719000.0,4684200.0,10889300.0
0,58,19306700.0,2898570.0,6616600.0
0,59,26579000.0,3963500.0,9146900.0
0,60,15232500.0,2212800.0,5087500.0
0,61,17354000.0,2505600.0,5830300.0
0,62,19850000.0,3017800.0,6913000.0
0,63,26468000.0,3867800.0,8966800.0
0,64,42155000.0,6142700.0,14269000.0
0,65,27069000.0,3720700.0,8747800.0
0,66,18790000.0,2669100.0,6225700.0
0,67,19534000.0,2879400.0,6668200.0
0,68,25339000.0,3739200.0,8655000.0
0,69,33496000.0,4652500.0,10898000.0
