K,L,lookups/sec,inserts/sec,ops/sec,loadtime
0,0,40045000.0,13265000.0,23930000.0,0.033755
0,10,40275000.0,12990000.0,23685000.0,0.03418
0,20,42155000.0,13670000.0,24875000.0,0.033005
0,30,40950000.0,13500000.0,24405000.0,0.033775
0,40,39440000.0,13530000.0,24075000.0,0.03282
0,50,40775000.0,13230000.0,24070000.0,0.03215
0,60,38675000.0,12930000.0,23245000.0,0.03432
0,70,42270000.0,13950000.0,25210000.0,0.032174999999999995
0,80,40860000.0,13320000.0,24180000.0,0.03408
0,90,41500000.0,13660000.0,24710000.0,0.03265
0,100,39600000.0,12990000.0,23530000.0,0.0337
10,0,40735000.0,13085000.0,23895000.0,0.034135
10,10,45300000.0,9041000.0,19385000.0,0.05019
10,20,43950000.0,8531500.0,18440000.0,0.051455
10,30,43010000.0,8469500.0,18225000.0,0.05116
10,40,46050000.0,8579500.0,18750000.0,0.05097
10,50,47710000.0,8194500.0,18300000.0,0.04958
10,60,46025000.0,8092000.0,17960000.0,0.047845
10,70,44935000.0,8254000.0,18105000.0,0.046075
10,80,44735000.0,7926500.0,17555000.0,0.046215
10,90,45525000.0,7903500.0,17600000.0,0.04564
10,100,44105000.0,7797000.0,17280000.0,0.04628
20,0,38680000.0,13080000.0,23415000.0,0.033895
20,10,47060000.0,7931000.0,17795000.0,0.059535000000000005
20,20,49380000.0,7903000.0,17960000.0,0.05889
20,30,47155000.0,7713500.0,17435000.0,0.058115
20,40,46840000.0,7794000.0,17545000.0,0.057264999999999996
20,50,47980000.0,8016500.0,18025000.0,0.05742
20,60,47585000.0,7673500.0,17405000.0,0.05624
20,70,47995000.0,7753500.0,17580000.0,0.057050000000000003
20,80,48355000.0,7395500.0,16990000.0,0.055545
20,90,48685000.0,7460000.0,17125000.0,0.053110000000000004
20,100,47440000.0,7333000.0,16805000.0,0.053919999999999996
30,0,38695000.0,13250000.0,23590000.0,0.033375
30,10,55080000.0,7877500.0,18375000.0,0.059289999999999995
30,20,55200000.0,7445000.0,17590000.0,0.061445
30,30,50620000.0,7248500.0,16905000.0,0.062145000000000006
30,40,51625000.0,7406000.0,17265000.0,0.061715
30,50,51535000.0,7141000.0,16775000.0,0.06211
30,60,49835000.0,6776000.0,15980000.0,0.061835
